date,channel,campaign,ad_set,creative,impressions,clicks,spend,conversions,orders,revenue,cogs,returns,returned_value,new_customers,returning_customers,ctr,cvr,aov,cac,roas,profit,funnel_step
2025-09-11,Meta,Meta_Camp_1,Meta_Camp_1_AS1,Meta_Camp_1_AS1_CR1,2638,52,19.88,0,0,0.0,0.0,0,0.0,0,0,0.0197,0.0,41.86,,0.0,-19.88,total
2025-09-11,Meta,Meta_Camp_1,Meta_Camp_1_AS1,Meta_Camp_1_AS1_CR2,1956,11,3.65,0,0,0.0,0.0,0,0.0,0,0,0.0056,0.0,40.99,,0.0,-3.65,total
2025-09-11,Meta,Meta_Camp_1,Meta_Camp_1_AS2,Meta_Camp_1_AS2_CR1,2097,42,13.79,0,0,0.0,0.0,0,0.0,0,0,0.02,0.0,41.76,,0.0,-13.79,total
2025-09-11,Meta,Meta_Camp_1,Meta_Camp_1_AS2,Meta_Camp_1_AS2_CR2,3289,54,16.03,0,0,0.0,0.0,0,0.0,0,0,0.0164,0.0,50.9,,0.0,-16.03,total
2025-09-11,Meta,Meta_Camp_2,Meta_Camp_2_AS1,Meta_Camp_2_AS1_CR1,2530,87,24.66,1,1,42.51,21.38,0,0.0,0,1,0.0344,0.0115,42.51,24.66,1.72,-3.53,total
2025-09-11,Meta,Meta_Camp_2,Meta_Camp_2_AS1,Meta_Camp_2_AS1_CR2,2855,33,11.3,0,0,0.0,0.0,0,0.0,0,0,0.0116,0.0,42.78,,0.0,-11.3,total
2025-09-11,Meta,Meta_Camp_2,Meta_Camp_2_AS2,Meta_Camp_2_AS2_CR1,2829,48,18.4,2,2,89.61,47.33,0,0.0,1,1,0.017,0.0417,44.81,9.2,4.87,23.88,total
2025-09-11,Meta,Meta_Camp_2,Meta_Camp_2_AS2,Meta_Camp_2_AS2_CR2,2930,57,19.44,1,1,42.69,20.28,0,0.0,0,1,0.0195,0.0175,42.69,19.44,2.2,2.97,total
2025-09-11,Meta,Meta_Camp_3,Meta_Camp_3_AS1,Meta_Camp_3_AS1_CR1,3120,65,21.95,4,4,180.11,78.94,0,0.0,1,3,0.0208,0.0615,45.03,5.49,8.21,79.22,total
2025-09-11,Meta,Meta_Camp_3,Meta_Camp_3_AS1,Meta_Camp_3_AS1_CR2,2367,66,23.05,5,5,179.82,71.28,0,0.0,2,3,0.0279,0.0758,35.96,4.61,7.8,85.49,total
2025-09-11,Meta,Meta_Camp_3,Meta_Camp_3_AS2,Meta_Camp_3_AS2_CR1,2682,54,18.88,1,1,51.17,24.95,0,0.0,0,1,0.0201,0.0185,51.17,18.88,2.71,7.34,total
2025-09-11,Meta,Meta_Camp_3,Meta_Camp_3_AS2,Meta_Camp_3_AS2_CR2,3130,42,14.72,1,1,43.03,20.76,0,0.0,0,1,0.0134,0.0238,43.03,14.72,2.92,7.55,total
2025-09-11,Google,Google_Camp_1,Google_Camp_1_AS1,Google_Camp_1_AS1_CR1,1475,34,18.13,2,2,123.28,57.37,0,0.0,1,1,0.0231,0.0588,61.64,9.06,6.8,47.78,total
2025-09-11,Google,Google_Camp_1,Google_Camp_1_AS1,Google_Camp_1_AS1_CR2,1981,62,31.84,4,4,264.41,108.08,0,0.0,1,3,0.0313,0.0645,66.1,7.96,8.3,124.49,total
2025-09-11,Google,Google_Camp_1,Google_Camp_1_AS2,Google_Camp_1_AS2_CR1,1359,24,12.21,0,0,0.0,0.0,0,0.0,0,0,0.0177,0.0,53.6,,0.0,-12.21,total
2025-09-11,Google,Google_Camp_1,Google_Camp_1_AS2,Google_Camp_1_AS2_CR2,1709,72,29.92,5,5,298.76,105.12,0,0.0,1,4,0.0421,0.0694,59.75,5.98,9.99,163.72,total
2025-09-11,Google,Google_Camp_2,Google_Camp_2_AS1,Google_Camp_2_AS1_CR1,1576,78,42.64,3,3,170.36,75.44,0,0.0,0,3,0.0495,0.0385,56.79,14.21,4.0,52.28,total
2025-09-11,Google,Google_Camp_2,Google_Camp_2_AS1,Google_Camp_2_AS1_CR2,2186,61,26.99,3,3,209.85,93.44,0,0.0,1,2,0.0279,0.0492,69.95,9.0,7.78,89.42,total
2025-09-11,Google,Google_Camp_2,Google_Camp_2_AS2,Google_Camp_2_AS2_CR1,2080,76,34.1,1,1,76.67,23.51,0,0.0,0,1,0.0365,0.0132,76.67,34.1,2.25,19.06,total
2025-09-11,Google,Google_Camp_2,Google_Camp_2_AS2,Google_Camp_2_AS2_CR2,1507,39,22.69,2,2,131.93,52.87,0,0.0,1,1,0.0259,0.0513,65.97,11.35,5.81,56.37,total
2025-09-11,Google,Google_Camp_3,Google_Camp_3_AS1,Google_Camp_3_AS1_CR1,1380,71,28.63,5,5,254.61,113.53,0,0.0,3,2,0.0514,0.0704,50.92,5.73,8.89,112.45,total
2025-09-11,Google,Google_Camp_3,Google_Camp_3_AS1,Google_Camp_3_AS1_CR2,1214,39,16.47,2,2,118.49,35.58,0,0.0,1,1,0.0321,0.0513,59.24,8.23,7.19,66.44,total
2025-09-11,Google,Google_Camp_3,Google_Camp_3_AS2,Google_Camp_3_AS2_CR1,1651,95,47.85,5,5,304.09,131.7,0,0.0,0,5,0.0575,0.0526,60.82,9.57,6.36,124.54,total
2025-09-11,Google,Google_Camp_3,Google_Camp_3_AS2,Google_Camp_3_AS2_CR2,1655,60,27.76,4,4,229.76,102.84,0,0.0,1,3,0.0363,0.0667,57.44,6.94,8.28,99.16,total
2025-09-11,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS1,Amazon_Camp_1_AS1_CR1,888,34,23.24,5,5,267.82,148.62,0,0.0,2,3,0.0383,0.1471,53.56,4.65,11.52,95.96,total
2025-09-11,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS1,Amazon_Camp_1_AS1_CR2,948,76,44.12,10,10,509.54,303.49,1,45.86,1,9,0.0802,0.1316,50.95,4.41,11.55,116.07,total
2025-09-11,Amazon,Amazon_Camp_1,Amazon_Camp_1_AS2,Amazon_Camp_1_AS2_CR1,923,72,43.15,6,6,368.61,181.59,0,0.0,1,5,0.078,0.0833,61.44,7.19,8.54,143.87,total
